entropy,EpRewMean,entloss,surrgain,EpisodesSoFar,EpLenMean,EpThisIter,TimestepsSoFar,EpTrueRewMean,ev_tdlam_before,meankl,optimgain,TimeElapsed
6.9124937,66.853615,0.0,0.13009566,990,528.3,2,549735,1683.5208858335595,0.8207959085702896,0.01133583,0.13009566,2229.8374993801117
6.90178,65.226524,0.0,0.11625534,991,516.0,1,550243,1640.6979333196396,0.777821272611618,0.010222422,0.11625534,2233.957439184189
6.9126444,67.752975,0.0,0.113393635,992,532.4,1,551223,1706.9534688493382,0.865393877029419,0.01065567,0.113393635,2238.0820088386536
6.899645,68.760155,0.0,0.115449145,994,541.0,2,552374,1732.734832191106,0.8570358604192734,0.010520173,0.115449145,2242.2102382183075
6.896593,71.679886,0.0,0.111932285,996,556.725,2,553794,1810.2385716384335,0.7939137369394302,0.012347317,0.111932285,2246.3349409103394
6.8797007,71.06514,0.0,0.109101236,998,566.975,2,555396,1842.2371139031554,0.7885945290327072,0.010814393,0.109101236,2250.472698688507
6.8855767,70.3411,0.0,0.12206191,1000,565.85,2,556639,1842.1675864781319,0.882878303527832,0.011583109,0.12206191,2254.6157488822937
6.833143,69.50021,0.0,0.13221093,1002,565.9,2,557851,1844.5559518846646,0.8149967640638351,0.01251165,0.13221093,2258.7349138259888
6.798994,70.44829,0.0,0.09868383,1004,575.275,2,559110,1872.5699647052759,0.47597968578338623,0.010428529,0.09868383,2262.855664253235
6.784546,71.279625,0.0,0.10301537,1005,585.1,1,560110,1892.1145442858112,0.6378956437110901,0.011042805,0.10301537,2266.992613554001
6.7807612,73.493576,0.0,0.11605166,1007,596.4,2,561495,1939.8210526584048,0.8077942132949829,0.010850623,0.11605166,2271.1154732704163
6.7217546,73.66217,0.0,0.10834991,1010,593.725,3,562823,1926.8058147556308,0.7364930212497711,0.011251037,0.10834991,2275.238854408264
6.7131343,74.62293,0.0,0.11675276,1012,594.9,2,564128,1928.625762066315,0.8631367087364197,0.0108257,0.11675276,2279.3581120967865
6.754991,75.338234,0.0,0.119178094,1013,605.325,1,564998,1960.7021149963316,0.9050226882100105,0.011167994,0.119178094,2283.430089235306
6.769954,73.88266,0.0,0.14762406,1015,603.725,2,566103,1948.0075132013455,0.8772914111614227,0.011988074,0.14762406,2287.51868391037
6.710342,77.15028,0.0,0.091643654,1016,622.525,1,567103,2021.5068536623608,0.2258591651916504,0.010810299,0.091643654,2291.650166273117
6.715276,76.96522,0.0,0.11772153,1017,624.375,1,568064,2023.5053039790582,0.8676611483097076,0.011223761,0.11772153,2295.7822210788727
6.7283764,77.58991,0.0,0.107034445,1019,627.35,2,569116,2032.8083060068268,0.9123280122876167,0.0112500405,0.107034445,2299.912839651108
