EpisodesSoFar,TimeElapsed,surrgain,meankl,ev_tdlam_before,TimestepsSoFar,entropy,EpThisIter,EpTrueRewMean,EpLenMean,EpRewMean,entloss,optimgain
4254,8664.223230838776,0.13925698,0.014095111,0.85726098716259,2156039,0.84020454,2,1579.9336752414897,451.9,27.591473,0.0,0.13925698
4256,8668.78574848175,0.1063295,0.0040546735,0.8289074897766113,2156750,0.83439684,2,1563.8477002508412,446.525,27.767681,0.0,0.1063295
4259,8673.333483695984,0.14816087,0.013922276,0.9049568027257919,2157645,0.85001963,3,1559.800438057709,444.15,28.590698,0.0,0.14816087
4262,8677.88758611679,0.14398338,0.013946589,0.9307874590158463,2159064,0.8554997,3,1519.8606165827168,434.125,28.097507,0.0,0.14398338
4264,8682.453783512115,0.07737181,0.0037702997,0.8422794789075851,2159967,0.8560659,2,1557.4557606383435,440.05,27.920727,0.0,0.07737181
4265,8687.00353217125,0.12850988,0.014295047,0.7082834243774414,2160967,0.8566459,1,1632.2269152994954,456.15,28.36726,0.0,0.12850988
4266,8691.560141086578,0.15498683,0.0049364865,0.5173269510269165,2161967,0.8664725,1,1691.688759520909,470.7,29.101898,0.0,0.15498683
4267,8696.11731338501,0.14941077,0.01391149,0.9396692663431168,2162961,0.86216915,1,1786.9430426556653,492.05,29.09834,0.0,0.14941077
4268,8700.675150632858,0.14396448,0.013000607,0.7490295469760895,2163961,0.88097435,1,1870.1101034657884,510.3,29.495468,0.0,0.14396448
4269,8705.223623514175,0.16325718,0.014828394,0.8498342633247375,2164595,0.88382715,1,1881.7350189446065,512.5,29.542852,0.0,0.16325718
4272,8709.785673618317,0.098703384,0.004592833,0.8830399215221405,2166253,0.87697804,3,1925.2653704522738,525.325,31.068354,0.0,0.098703384
4274,8714.333468675613,0.14933383,0.014475917,0.9345712289214134,2167065,0.8825472,2,1888.3154650349782,516.925,30.62778,0.0,0.14933383
4277,8718.891121864319,0.16575351,0.014412215,0.9084669873118401,2168281,0.8810343,3,1874.4652352435382,511.25,30.687916,0.0,0.16575351
4279,8723.069184064865,0.07044791,0.003998719,0.9466273002326488,2169567,0.8814854,2,1959.0918387928527,529.725,31.867992,0.0,0.07044791
4281,8727.297175645828,0.17104205,0.014723644,0.9146221727132797,2170610,0.8806135,2,2014.8663005760172,542.325,32.614174,0.0,0.17104205
4283,8731.846611499786,0.1476475,0.014849506,0.8301324546337128,2171171,0.87364244,2,1868.1221300659315,507.65,31.6587,0.0,0.1476475
4284,8736.409048318863,0.07674076,0.0040276605,0.5311115086078644,2172171,0.8800047,1,1879.1563029358563,507.65,31.899769,0.0,0.07674076
4286,8740.96072268486,0.08670092,0.003822059,0.31512874364852905,2173510,0.8903142,2,1859.397507269611,502.45,32.054363,0.0,0.08670092
4289,8745.51057934761,0.123664275,0.01391365,0.6758836507797241,2174720,0.88605505,3,1878.3539006429887,507.225,31.971796,0.0,0.123664275
4290,8750.045981407166,0.24596639,0.013303829,0.657214879989624,2175605,0.8866349,1,1948.267834127642,521.825,33.567863,0.0,0.24596639
4291,8754.588487148285,0.1423206,0.012802633,0.32927197217941284,2176605,0.8855535,1,2026.708497465916,537.725,34.11488,0.0,0.1423206
4293,8759.119161844254,0.15238114,0.014698807,0.5125302672386169,2177748,0.89369,2,2082.2206266623025,549.35,34.112118,0.0,0.15238114
