EpisodesSoFar,surrgain,meankl,entropy,TimeElapsed,entloss,EpTrueRewMean,TimestepsSoFar,EpThisIter,EpLenMean,EpRewMean,ev_tdlam_before,optimgain
704,0.10922849,0.0129879005,6.95972,2147.331640481949,0.0,-2896.1239668092867,704000,1,1000.0,192.21509,0.2870170474052429,0.10922849
705,0.100233704,0.013275672,6.8715777,2150.6912083625793,0.0,-2857.112720621735,705000,1,1000.0,198.14409,0.3641606569290161,0.100233704
706,0.12514958,0.012416396,6.855573,2154.045708656311,0.0,-2823.2719393391767,706000,1,1000.0,208.23189,0.2836434245109558,0.12514958
707,0.10359013,0.014208862,6.805922,2157.391381263733,0.0,-2790.1835279127426,707000,1,1000.0,215.74939,0.4897669553756714,0.10359013
708,0.12872232,0.013553156,6.7154503,2160.7493278980255,0.0,-2781.0890621288527,708000,1,1000.0,218.98154,0.5482045412063599,0.12872232
709,0.12494448,0.013968437,6.6987267,2164.0831825733185,0.0,-2775.8798025623173,709000,1,1000.0,220.4512,0.7766917645931244,0.12494448
710,0.12557107,0.01458687,6.7002,2167.44193482399,0.0,-2784.6992612499025,710000,1,1000.0,221.10693,0.781107172369957,0.12557107
711,0.088506445,0.012442362,6.688031,2170.798782348633,0.0,-2758.991836064167,711000,1,1000.0,227.77876,0.5234900414943695,0.088506445
712,0.07933402,0.012577126,6.656063,2174.149820804596,0.0,-2758.8882425410693,712000,1,1000.0,234.47852,0.33896225690841675,0.07933402
713,0.07941873,0.011951212,6.605229,2177.4925162792206,0.0,-2741.023234859257,713000,1,1000.0,243.6771,0.33610349893569946,0.07941873
714,0.08418575,0.012789948,6.551575,2180.862116575241,0.0,-2736.919571517474,714000,1,1000.0,250.15005,0.3576291799545288,0.08418575
715,0.035666473,0.0041601406,6.475385,2184.232846260071,0.0,-2734.038859095013,715000,1,1000.0,257.5169,0.6618151962757111,0.035666473
716,0.07557387,0.013463125,6.396305,2187.596957206726,0.0,-2733.6697721683677,716000,1,1000.0,262.8172,0.7490579783916473,0.07557387
717,0.061962143,0.011031775,6.284806,2190.9734330177307,0.0,-2740.3357772191616,717000,1,1000.0,270.58795,0.7481405138969421,0.061962143
718,0.1342955,0.012904821,6.3417363,2194.6845259666443,0.0,-2743.1725099278474,718000,1,1000.0,272.94296,0.028705358505249023,0.1342955
719,0.079766706,0.013786884,6.3808165,2198.055904865265,0.0,-2740.974179526688,719000,1,1000.0,275.50494,0.25196409225463867,0.079766706
720,0.06024392,0.011078997,6.313048,2201.4195296764374,0.0,-2739.5014646712516,720000,1,1000.0,277.1695,0.002633213996887207,0.06024392
721,0.075174905,0.014449864,6.257767,2204.7926490306854,0.0,-2750.2371963877717,721000,1,1000.0,278.80438,0.6119108200073242,0.075174905
722,0.06358271,0.010172248,6.242797,2208.168528318405,0.0,-2762.071626718919,722000,1,1000.0,279.16373,0.4498106837272644,0.06358271
