surrgain,EpRewMean,meankl,EpisodesSoFar,EpTrueRewMean,TimeElapsed,TimestepsSoFar,entloss,EpThisIter,EpLenMean,ev_tdlam_before,entropy,optimgain
0.20892204,0.42049032,0.005614748,13671,411.00510726013835,24665.17582321167,1069597,0.0,12,81.7,-0.16250038146972656,23.609707,0.20892204
0.1879654,0.46400657,0.004604862,13684,416.68858615956617,24688.169124126434,1070636,0.0,13,82.35,-0.09228861331939697,23.608358,0.1879654
0.32592022,0.9803797,0.004832572,13697,411.32260616308497,24711.066409111023,1071654,0.0,13,81.325,0.06853461265563965,23.60795,0.32592022
0.11981605,0.9720148,0.0047907187,13711,395.70764236564435,24733.845118284225,1072716,0.0,14,77.975,-1.6382384300231934,23.607576,0.11981605
0.17336032,1.0096471,0.004778474,13723,396.63507841955186,24756.61546111107,1073677,0.0,12,77.825,-0.01537179946899414,23.606281,0.17336032
0.15103212,0.44340467,0.0052329134,13737,397.9256393055226,24779.57900905609,1074763,0.0,14,77.725,-3.8439736366271973,23.605625,0.15103212
0.13290708,0.41745615,0.0056483564,13750,400.4345782662563,24802.396386146545,1075800,0.0,13,78.6,-0.802703857421875,23.604504,0.13290708
0.11910597,0.373159,0.0055837356,13764,398.934973863427,24825.3325881958,1076867,0.0,14,77.825,-2.0981552600860596,23.603024,0.11910597
1.6354544,0.5606093,0.0067995293,13776,406.28890498975056,24848.41818714142,1077882,0.0,12,79.6,0.008540034294128418,23.603672,1.6354544
0.1896717,0.56541616,0.0059642103,13786,428.2098201131113,24871.59557199478,1078827,0.0,10,84.3,-0.23695850372314453,23.60307,0.1896717
0.1637209,0.5379739,0.0069878367,13799,433.1775306971469,24894.395717144012,1079893,0.0,13,85.775,-0.8509955406188965,23.604496,0.1637209
0.16522434,0.4986166,0.0060041267,13812,431.78160178712585,24917.17994904518,1080956,0.0,13,86.0,-0.44469356536865234,23.60368,0.16522434
0.19174713,0.30381784,0.0053985585,13825,410.68745547864285,24940.222465991974,1081997,0.0,13,81.725,0.3092964291572571,23.604046,0.19174713
0.14811248,0.37349826,0.0047514443,13837,409.9135675447923,24962.908304214478,1082958,0.0,12,80.475,-0.01868116855621338,23.60319,0.14811248
0.2719689,0.40750617,0.004842328,13850,406.43005815097746,24986.036958932877,1083937,0.0,13,78.85,-0.18590044975280762,23.602703,0.2719689
0.1657948,0.44765335,0.0052141338,13863,395.131674401235,25009.165302038193,1084935,0.0,13,77.05,-1.0132722854614258,23.601429,0.1657948
