EpLenMean,EpThisIter,ev_tdlam_before,EpTrueRewMean,TimestepsSoFar,meankl,surrgain,EpRewMean,EpisodesSoFar,TimeElapsed,entropy,optimgain,entloss
860.5,1,0.055412352085113525,922.593764260608,74565,0.008260207,0.0540122,238.10498,160,256.9045150279999,3.88427,0.0540122,0.0
860.5,1,-0.11332106590270996,921.5939383522622,75565,0.008490421,0.04818646,235.45493,161,260.12689757347107,3.8761826,0.04818646,0.0
871.175,1,0.16962146759033203,933.2157678636171,76565,0.008439258,0.0514222,235.99808,162,263.3543713092804,3.8817463,0.0514222,0.0
872.475,1,-0.1364133358001709,933.7072491061357,77565,0.008635075,0.06296003,232.55948,163,266.5719563961029,3.8821092,0.06296003,0.0
872.475,1,-0.032332420349121094,934.298169667122,78565,0.0076946774,0.043482438,229.33975,164,269.7935266494751,3.894354,0.043482438,0.0
864.05,1,0.724840521812439,924.6814244535606,79228,0.0077202646,0.06444977,224.40498,165,273.01069498062134,3.886238,0.06444977,0.0
864.05,1,-0.2044459581375122,925.1114913325382,80228,0.008323355,0.046548802,221.07271,166,276.22916316986084,3.899255,0.046548802,0.0
860.1,2,0.08536791801452637,922.8643478491449,82035,0.009827958,0.063759014,213.5166,168,279.44199109077454,3.900208,0.063759014,0.0
871.75,1,-0.050620079040527344,935.7060293354931,83035,0.00800956,0.048579678,214.25867,169,282.65535140037537,3.9135435,0.048579678,0.0
871.75,1,0.05269521474838257,938.5983096632783,84035,0.008913515,0.054549433,211.40073,170,285.8766505718231,3.9101849,0.054549433,0.0
886.6,1,-0.5503172874450684,957.3398490222593,85035,0.008984076,0.06114182,213.25244,171,289.0836818218231,3.9163744,0.06114182,0.0
882.275,1,0.38839930295944214,954.216783454832,85862,0.008220274,0.059811737,209.67563,172,292.29203605651855,3.9074116,0.059811737,0.0
882.275,1,-0.45280730724334717,956.1135365986014,86862,0.008863736,0.06465488,206.10722,173,295.4953103065491,3.9173565,0.06465488,0.0
882.275,1,0.10401231050491333,958.934282688153,87862,0.00798036,0.04116147,203.472,174,298.7093322277069,3.9289305,0.04116147,0.0
882.275,1,0.04070943593978882,960.0262658910893,88862,0.009309573,0.04455321,200.13559,175,301.9341974258423,3.9290237,0.04455321,0.0
900.95,1,-0.11794078350067139,982.3734680157553,89862,0.007339597,0.049662203,203.14388,176,305.1531879901886,3.924011,0.049662203,0.0
