EpRewMean,TimestepsSoFar,ev_tdlam_before,optimgain,EpTrueRewMean,meankl,entropy,EpThisIter,EpisodesSoFar,TimeElapsed,surrgain,EpLenMean,entloss
23.806137,2648000,0.48114341497421265,0.09559516,-4868.073981748658,0.0053350152,3.6719356,1,2648,8903.03988790512,0.09559516,1000.0,0.0
24.042591,2649000,0.1119200587272644,0.08630039,-4868.406901755638,0.0057633575,3.6677554,1,2649,8906.587343931198,0.08630039,1000.0,0.0
23.968792,2650000,0.5979430079460144,0.09053852,-4867.52400673469,0.0069163106,3.6632018,1,2650,8910.12188410759,0.09053852,1000.0,0.0
23.89468,2651000,0.4454490542411804,0.12566876,-4868.570261643593,0.006606568,3.661157,1,2651,8913.653746128082,0.12566876,1000.0,0.0
23.303274,2652000,0.8348170667886734,0.07013576,-4889.028787063637,0.004759455,3.6484292,1,2652,8917.179890155792,0.07013576,1000.0,0.0
23.216267,2653000,0.6946958303451538,0.08998603,-4882.076297729311,0.0063541597,3.6629572,1,2653,8920.709897994995,0.08998603,1000.0,0.0
23.225056,2654000,0.7435666620731354,0.08928172,-4884.967082097195,0.006286114,3.6576617,1,2654,8924.233263731003,0.08928172,1000.0,0.0
22.630014,2655000,0.9221923351287842,0.21464334,-5051.7359860230545,0.0072694584,3.6556475,1,2655,8927.79815530777,0.21464334,1000.0,0.0
22.76324,2656000,0.5158822536468506,0.09298881,-5057.853446998684,0.0056281937,3.653054,1,2656,8931.331904411316,0.09298881,1000.0,0.0
22.45847,2657000,0.3979143500328064,0.088283,-5071.903046921189,0.0053217714,3.6508772,1,2657,8934.85957479477,0.088283,1000.0,0.0
22.369427,2658000,0.39080679416656494,0.07914789,-5070.853669661243,0.005036356,3.6429732,1,2658,8938.38437962532,0.07914789,1000.0,0.0
23.19673,2659000,0.7403556704521179,0.08728759,-5073.367329839655,0.005624477,3.6381247,1,2659,8941.920516252518,0.08728759,1000.0,0.0
23.395416,2660000,0.4399558901786804,0.09720475,-5083.044772789701,0.00636179,3.6396263,1,2660,8945.455023765564,0.09720475,1000.0,0.0
23.310556,2661000,0.8637174665927887,0.111480534,-5083.464628151963,0.0060883733,3.6329634,1,2661,8949.0035572052,0.111480534,1000.0,0.0
23.246304,2662000,0.8823417946696281,0.1004951,-5078.454337305778,0.0047603864,3.6299155,1,2662,8952.543150901794,0.1004951,1000.0,0.0
23.56448,2663000,0.06911635398864746,0.073630884,-5084.8983880599,0.0046969177,3.626406,1,2663,8956.657126188278,0.073630884,1000.0,0.0
23.373083,2664000,0.8602390140295029,0.09097845,-5087.401391160712,0.006096621,3.6199324,1,2664,8960.207967281342,0.09097845,1000.0,0.0
23.250736,2665000,0.75103360414505,0.11662368,-5092.029623169847,0.007822137,3.6302779,1,2665,8963.742606401443,0.11662368,1000.0,0.0
23.453918,2666000,0.0714520812034607,0.088412754,-5091.437587485829,0.0050831037,3.627448,1,2666,8967.276604175568,0.088412754,1000.0,0.0
23.648571,2667000,0.1585228443145752,0.07407771,-5081.099799170841,0.004723186,3.6356199,1,2667,8970.812649965286,0.07407771,1000.0,0.0
23.70439,2668000,0.5520473718643188,0.09037748,-5077.96436237661,0.008082325,3.625985,1,2668,8974.306323289871,0.09037748,1000.0,0.0
23.633331,2669000,0.8295303136110306,0.079679534,-5080.112380333494,0.0044564484,3.6204898,1,2669,8977.840244293213,0.079679534,1000.0,0.0
23.41698,2670000,0.16947203874588013,0.09817076,-5078.997314358067,0.0057656826,3.6225286,1,2670,8981.362601280212,0.09817076,1000.0,0.0
