entropy,meankl,surrgain,EpThisIter,EpLenMean,EpisodesSoFar,EpRewMean,TimeElapsed,entloss,optimgain,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean
1.3997968,0.0046132044,0.08987067,1,1000.0,3849,17.3759,12324.886840105057,0.0,0.08987067,0.760941743850708,3849000,-6114.215089711688
1.4028167,0.0064378697,0.090918794,1,1000.0,3850,17.37917,12327.304989099503,0.0,0.090918794,0.8080696910619736,3850000,-6137.299261189737
1.4034275,0.006598373,0.09746109,1,1000.0,3851,17.22713,12329.710878372192,0.0,0.09746109,0.7151432633399963,3851000,-6132.431060324084
1.3975319,0.006372314,0.074211314,1,1000.0,3852,17.28662,12332.11546587944,0.0,0.074211314,0.8194890320301056,3852000,-6121.588615975864
1.3943483,0.007345092,0.08561846,1,1000.0,3853,17.113132,12334.531074047089,0.0,0.08561846,0.8199335038661957,3853000,-6147.810369872282
1.3944803,0.007288881,0.11255826,2,1000.0,3855,17.131613,12336.929939031601,0.0,0.11255826,0.6405784487724304,3855000,-6180.925066976741
1.3963636,0.0052217245,0.08076917,1,1000.0,3856,17.06707,12339.340034008026,0.0,0.08076917,0.8078069388866425,3856000,-6179.096497702476
1.3976644,0.006921827,0.10301693,1,1000.0,3857,17.04485,12341.732615470886,0.0,0.10301693,0.6504811346530914,3857000,-6197.565314274028
1.388808,0.010506206,0.09127199,1,1000.0,3858,17.07758,12344.135013580322,0.0,0.09127199,0.5896925926208496,3858000,-6213.570165337244
1.3872015,0.005037279,0.074814394,1,1000.0,3859,17.213043,12346.529381513596,0.0,0.074814394,0.868424654006958,3859000,-6243.600097832167
1.3928887,0.0050109886,0.08392547,1,1000.0,3860,16.885288,12348.921066045761,0.0,0.08392547,0.8680550158023834,3860000,-6229.6768491939465
1.3915418,0.004952794,0.0628531,1,1000.0,3861,16.881374,12351.324311256409,0.0,0.0628531,0.802529826760292,3861000,-6243.547285071514
1.3899484,0.0076037343,0.085328445,1,1000.0,3862,17.263155,12353.722203493118,0.0,0.085328445,0.7462806105613708,3862000,-6284.868093561772
1.3844615,0.005427461,0.08846292,1,1000.0,3863,17.275204,12356.12837100029,0.0,0.08846292,0.5656270682811737,3863000,-6266.775833934538
1.386068,0.008303286,0.091902524,1,1000.0,3864,17.14241,12358.536324262619,0.0,0.091902524,0.8064524680376053,3864000,-6254.966093465625
1.3876702,0.0057810815,0.07556822,1,1000.0,3865,17.049944,12360.951038837433,0.0,0.07556822,0.8743129968643188,3865000,-6245.341881436875
1.3901781,0.0068002,0.093295366,1,1000.0,3866,16.994146,12363.367007017136,0.0,0.093295366,0.8374631553888321,3866000,-6239.197754217612
1.3868409,0.00944579,0.15670069,1,1000.0,3867,17.028553,12365.775788068771,0.0,0.15670069,0.9235467538237572,3867000,-6211.092360916058
1.3869836,0.006177472,0.091145955,1,1000.0,3868,17.065691,12368.174601078033,0.0,0.091145955,0.6144652366638184,3868000,-6203.728621116763
1.3890588,0.007567678,0.09711331,2,1000.0,3870,17.336208,12370.583119153976,0.0,0.09711331,0.5391673743724823,3870000,-6229.233550247101
1.3883513,0.0059520286,0.08701201,1,1000.0,3871,17.317211,12373.005629062653,0.0,0.08701201,0.7780720889568329,3871000,-6287.728943142616
1.3933414,0.0062944843,0.106052965,1,1000.0,3872,17.226032,12375.441683530807,0.0,0.106052965,0.7558268159627914,3872000,-6301.660787647561
1.3899436,0.008784544,0.096426666,1,1000.0,3873,17.401424,12377.851486206055,0.0,0.096426666,0.6261722445487976,3873000,-6307.363684705134
1.3927664,0.006831025,0.17290427,1,1000.0,3874,17.423151,12380.245988845825,0.0,0.17290427,0.5828336477279663,3874000,-6347.741539223838
1.3898009,0.011006348,0.088275656,1,1000.0,3875,17.205402,12382.654080867767,0.0,0.088275656,0.7953935861587524,3875000,-6355.110245876831
1.3951212,0.007833041,0.109974645,1,1000.0,3876,17.166847,12385.071977376938,0.0,0.109974645,0.9220772311091423,3876000,-6373.625801697735
1.4011425,0.0063506085,0.11607814,1,1000.0,3877,17.083948,12387.484760284424,0.0,0.11607814,0.6957330703735352,3877000,-6353.896765728316
1.3965153,0.006886564,0.07257503,1,1000.0,3878,17.249292,12389.908394098282,0.0,0.07257503,0.8001250624656677,3878000,-6385.06545713615
1.4025322,0.0070718974,0.08488126,1,1000.0,3879,17.389715,12392.305555820465,0.0,0.08488126,0.9055466130375862,3879000,-6381.956340079756
1.39945,0.008633144,0.10244615,1,1000.0,3880,17.501095,12394.703885555267,0.0,0.10244615,0.816991537809372,3880000,-6441.730936882603
1.3971101,0.0070392103,0.098959535,1,1000.0,3881,17.651785,12397.100882291794,0.0,0.098959535,0.5303812026977539,3881000,-6435.532877146638
1.3954152,0.008635596,0.17494395,1,1000.0,3882,17.88234,12399.492440223694,0.0,0.17494395,0.40929895639419556,3882000,-6410.6645699558985
1.3995055,0.0057549034,0.09084434,1,1000.0,3883,17.905298,12401.893024921417,0.0,0.09084434,0.7465848624706268,3883000,-6424.123299730198
1.3969561,0.007095743,0.08257585,1,1000.0,3884,17.772781,12404.289618492126,0.0,0.08257585,0.8690069168806076,3884000,-6432.601772984236
