surrgain,EpThisIter,TimeElapsed,entropy,entloss,TimestepsSoFar,EpisodesSoFar,EpLenMean,meankl,optimgain,EpTrueRewMean,ev_tdlam_before,EpRewMean
0.14651015,11,2549.696127653122,23.488344,0.0,555809,7100,89.35,0.0053938483,0.14651015,425.9416800259434,0.41076552867889404,1.5343822
0.16832522,11,2554.2756354808807,23.487326,0.0,556867,7111,90.275,0.00524408,0.16832522,427.96425666249644,0.6534968614578247,1.5425063
0.23819181,11,2558.867462873459,23.485918,0.0,557826,7122,90.925,0.004930106,0.23819181,434.6442979374574,0.3006954789161682,1.5339043
0.16440907,11,2563.462540626526,23.486002,0.0,558783,7133,89.95,0.00533445,0.16440907,432.7527342396208,0.6196853220462799,1.2987894
0.17924285,12,2568.056753873825,23.485086,0.0,559803,7145,88.15,0.004998756,0.17924285,429.2876257320615,0.6650394797325134,1.3650401
0.18082714,12,2572.6511125564575,23.485594,0.0,560835,7157,85.1,0.005108064,0.18082714,416.57320137426416,-0.009158849716186523,1.4244603
0.26180702,11,2577.247436761856,23.486017,0.0,561835,7168,86.85,0.0060567167,0.26180702,423.9286338524595,0.22070783376693726,1.5521599
0.2487297,12,2581.8455822467804,23.486752,0.0,562817,7180,87.55,0.0054690726,0.2487297,421.09036399432455,0.49290627241134644,1.5474541
0.17789215,12,2586.4887461662292,23.484869,0.0,563824,7192,87.375,0.0053870883,0.17789215,422.71460924689126,0.7024181187152863,1.4296262
0.62005854,12,2591.1121962070465,23.484457,0.0,564835,7204,83.35,0.005472685,0.62005854,404.3906884967159,0.26221221685409546,1.2774422
0.16051131,11,2595.7280597686768,23.48316,0.0,565875,7215,86.7,0.0046360763,0.16051131,423.2097449981087,0.48949652910232544,1.2246833
0.18168661,12,2600.338138103485,23.483904,0.0,566917,7227,88.125,0.0048004687,0.18168661,428.6246296015005,0.5834137797355652,1.2886088
0.23386914,13,2604.9423565864563,23.483805,0.0,567911,7240,85.175,0.00513041,0.23386914,412.75211530624074,0.3720442056655884,1.2507633
0.15944761,12,2609.5572419166565,23.483316,0.0,568895,7252,82.7,0.0042163725,0.15944761,400.50607269889235,0.6227102875709534,1.2389108
0.23590508,11,2614.1682307720184,23.483643,0.0,569890,7263,82.875,0.0062312204,0.23590508,405.75236751813713,0.19533544778823853,1.2857536
0.18385589,12,2618.7855818271637,23.485598,0.0,570919,7275,84.875,0.004632719,0.18385589,416.89390431441825,0.5423726737499237,1.3018037
0.21708824,12,2623.386871576309,23.488506,0.0,571935,7287,87.275,0.0053111054,0.21708824,424.9116990107691,0.5813189148902893,1.299552
0.15608239,12,2628.0005009174347,23.488832,0.0,572938,7299,83.125,0.0046528243,0.15608239,402.4327241434057,0.7986133843660355,1.1496797
0.3068605,12,2632.6068799495697,23.489256,0.0,573949,7311,84.875,0.004445753,0.3068605,411.30595046027776,0.12482118606567383,1.4172634
0.19475023,10,2637.2130048274994,23.487385,0.0,574934,7321,88.1,0.0048625227,0.19475023,427.53268866242416,0.5090975165367126,1.5436785
0.44596735,11,2641.8179807662964,23.486898,0.0,575887,7332,88.55,0.0052130753,0.44596735,428.01628477078646,0.053207337856292725,1.6280136
0.2502114,12,2646.435361146927,23.486021,0.0,576892,7344,87.75,0.005058754,0.2502114,420.2350546689434,0.5390062928199768,1.5916337
0.3379484,12,2651.05113863945,23.489096,0.0,577980,7356,87.875,0.004854771,0.3379484,417.806313444847,0.3212805390357971,1.4159572
0.21721275,11,2656.1738755702972,23.488104,0.0,579044,7367,90.025,0.005338042,0.21721275,433.58312335506525,0.47978150844573975,1.399066
0.15451494,11,2660.7889165878296,23.486406,0.0,580113,7378,91.675,0.0048350496,0.15451494,449.22855824829304,0.4588216543197632,1.3717058
0.26427472,12,2665.4020566940308,23.486591,0.0,581143,7390,91.9,0.0049894936,0.26427472,450.44912649795623,0.1258123517036438,1.4756438
0.2009693,11,2670.0123410224915,23.483885,0.0,582178,7401,92.1,0.0048670107,0.2009693,456.11793051290095,0.33583611249923706,1.4891031
0.15545654,11,2675.162317752838,23.482916,0.0,583221,7412,92.35,0.0049524577,0.15545654,451.84930992608435,-0.08171308040618896,1.480684
0.15915395,11,2679.827126264572,23.483236,0.0,584212,7423,93.225,0.004816487,0.15915395,449.5751543647995,0.3472643494606018,1.2964491
0.13427709,11,2684.7519960403442,23.481138,0.0,585181,7434,91.775,0.0042905984,0.13427709,444.63150733299244,0.31809282302856445,1.239825
