entropy,TimeElapsed,optimgain,EpTrueRewMean,EpThisIter,EpisodesSoFar,TimestepsSoFar,meankl,surrgain,ev_tdlam_before,EpLenMean,EpRewMean,entloss
8.17975,1037.341347694397,0.10539554,993.3693867847644,3,558,272170,0.009306425,0.10539554,0.8501994907855988,641.425,169.49237,0.0
8.193485,1041.9002404212952,0.20791692,988.3082870420134,1,559,272833,0.009295883,0.20791692,0.5220498740673065,634.2,168.37611,0.0
8.186325,1046.469316959381,0.10745808,1004.5648143201503,3,562,274671,0.009512113,0.10745808,0.4723302125930786,645.85,169.04509,0.0
8.178847,1051.025463104248,0.105991825,938.5354231023172,3,565,275423,0.009038182,0.105991825,0.6825223863124847,599.525,155.83383,0.0
8.181385,1055.5827286243439,0.11565487,927.5815239278993,2,567,276429,0.009578407,0.11565487,0.6421281397342682,583.5,152.03804,0.0
8.181474,1060.1447985172272,0.11988993,929.5945440772568,2,569,277539,0.009701859,0.11988993,0.5227710902690887,583.575,150.29567,0.0
8.197831,1064.7036271095276,0.1854826,938.164643530938,2,571,278601,0.008476669,0.1854826,0.6821357011795044,584.675,150.33481,0.0
8.218003,1069.2794396877289,0.18409804,937.6551873165192,2,573,279662,0.009575917,0.18409804,0.6836380064487457,578.4,148.16582,0.0
8.220829,1073.850046157837,0.10723938,938.6702218855902,1,574,280422,0.00857575,0.10723938,0.7031460702419281,572.4,147.0324,0.0
8.223863,1078.1151938438416,0.1267973,914.3588829251887,2,576,281197,0.009424,0.1267973,0.781371682882309,545.125,141.5551,0.0
8.2138,1082.109251499176,0.13204452,901.5448721843695,2,578,282078,0.009240133,0.13204452,0.8321044743061066,529.475,138.15823,0.0
8.217162,1086.1036496162415,0.1295017,917.7013030827413,1,579,282953,0.009362413,0.1295017,0.8290417790412903,538.325,139.85284,0.0
8.201849,1090.3561699390411,0.10215807,950.679845572435,1,580,283953,0.009064611,0.10215807,0.4956256151199341,557.25,143.63913,0.0
8.192138,1094.9193193912506,0.13423191,918.2547366082596,3,583,285066,0.0092850495,0.13423191,0.5249947607517242,536.325,137.27747,0.0
8.196651,1099.4843802452087,0.10434839,918.2203616326245,2,585,286055,0.009469359,0.10434839,0.8085929453372955,531.9,136.11084,0.0
8.1835785,1104.0431506633759,0.107086174,942.1162066781428,1,586,287055,0.008897912,0.107086174,-0.18748974800109863,552.325,138.84346,0.0
8.1885395,1108.6050176620483,0.1081249,922.252247293909,1,587,287398,0.011665572,0.1081249,0.3036397099494934,535.9,135.26466,0.0
8.187807,1113.1594705581665,0.086134344,921.082443428964,1,588,288398,0.009391066,0.086134344,0.058817386627197266,535.9,134.20526,0.0
