optimgain,EpisodesSoFar,ev_tdlam_before,EpRewMean,meankl,TimestepsSoFar,EpLenMean,entropy,TimeElapsed,entloss,EpThisIter,surrgain
0.012672028,551,0.9913825104013085,75.77978065177192,0.008492099,77730,79.05,1.4189401,50.163461208343506,0.0,12,0.012672028
0.02347417,561,0.6768731474876404,74.62492959321321,0.009695554,78834,85.5,1.4189401,50.819143772125244,0.0,10,0.02347417
0.013790112,574,0.9766528997570276,74.30759558411887,0.0076801404,79829,85.7,1.4189401,51.45673370361328,0.0,13,0.013790112
0.0136165405,584,0.9306353777647018,72.50477327406338,0.0081542265,80827,91.3,1.4189401,52.1138014793396,0.0,10,0.0136165405
0.0134464875,598,0.9806157629936934,72.48704325234485,0.008275606,81871,81.9,1.4189401,52.763959884643555,0.0,14,0.0134464875
0.016498964,612,0.9804950654506683,71.62519998668847,0.00981586,82925,81.225,1.4189401,53.429787158966064,0.0,14,0.016498964
0.015456192,625,0.9921542145311832,72.47819189504256,0.008218113,83913,75.35,1.4189401,54.07911944389343,0.0,13,0.015456192
0.012728624,639,0.9933567168191075,74.55650908615925,0.009357877,84964,75.325,1.4189401,54.736544370651245,0.0,14,0.012728624
0.016962051,651,0.9497212432324886,74.91180547689972,0.008080335,86002,78.75,1.4189401,55.39355516433716,0.0,12,0.016962051
0.011041529,664,0.9904459472745657,74.92590063258322,0.0077738473,86993,78.925,1.4189401,56.04568409919739,0.0,13,0.011041529
0.011677197,678,0.9923090250231326,74.40524830585491,0.008076977,88045,78.9,1.4189401,56.70307660102844,0.0,14,0.011677197
0.013675996,690,0.8285669535398483,74.58003383998127,0.00773451,89080,78.8,1.4189401,57.353588581085205,0.0,12,0.013675996
0.008925436,703,0.9853826463222504,75.13337490370938,0.005372899,90042,78.125,1.4189401,58.007357358932495,0.0,13,0.008925436
0.010777775,717,0.9755868371576071,74.74763484791814,0.009175323,91091,77.975,1.4189401,58.67510104179382,0.0,14,0.010777775
0.014530154,730,0.9911929611116648,75.4467727193034,0.010511713,92087,75.175,1.4189401,59.33811044692993,0.0,13,0.014530154
0.02781691,743,0.9245626330375671,76.27302448305531,0.008233404,93153,77.775,1.4189401,59.99640345573425,0.0,13,0.02781691
0.010477439,756,0.9880913393571973,77.50210658896829,0.0056378804,94179,79.025,1.4189401,60.64637207984924,0.0,13,0.010477439
0.007583789,769,0.9894494069740176,76.76880959470596,0.0069476264,95165,78.875,1.4189401,61.29568338394165,0.0,13,0.007583789
0.016278353,783,0.990615046583116,75.46837366186003,0.008719138,96256,77.575,1.4189401,61.952473878860474,0.0,14,0.016278353
0.022444736,795,0.9837789684534073,73.68306609238866,0.009668486,97212,77.675,1.4189401,62.60587954521179,0.0,12,0.022444736
0.016285906,808,0.9834525678306818,73.28731544651669,0.008268109,98247,78.875,1.4189401,63.26581430435181,0.0,13,0.016285906
0.016392983,822,0.9942090627737343,73.83015922535095,0.008684155,99285,77.775,1.4189401,63.931710958480835,0.0,14,0.016392983
0.01008755,835,0.989657036960125,74.02225963399931,0.0077530155,100314,77.55,1.4189401,64.57864427566528,0.0,13,0.01008755
