EpLenMean,meankl,TimeElapsed,EpisodesSoFar,entloss,optimgain,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,entropy,EpThisIter,surrgain,EpRewMean
1000.0,0.00415478,3275.7554512023926,1007,0.0,0.0784134,0.7003469467163086,1007000,-3006.66917900574,7.8778534,1,0.0784134,92.2686
1000.0,0.004185569,3279.59769654274,1008,0.0,0.0751276,-1.0065839290618896,1008000,-3018.528325652286,7.8814735,1,0.0751276,90.26225
1000.0,0.0043374063,3283.414171934128,1009,0.0,0.07700313,-0.31783246994018555,1009000,-3016.373664832682,7.9067497,1,0.07700313,93.65702
1000.0,0.003916466,3287.3035764694214,1010,0.0,0.087708786,0.5833821594715118,1010000,-3015.284145672248,7.9220576,1,0.087708786,99.55149
1000.0,0.004172668,3291.215268135071,1011,0.0,0.057881333,-0.015752315521240234,1011000,-3042.4715041380896,7.9083714,1,0.057881333,97.61983
1000.0,0.0040955422,3295.038904428482,1012,0.0,0.097625,0.7349132895469666,1012000,-3047.258677052909,7.900952,1,0.097625,99.07938
1000.0,0.0038023829,3298.8570647239685,1013,0.0,0.08631535,0.8183268308639526,1013000,-3050.832729370185,7.9031863,1,0.08631535,100.877426
1000.0,0.0043454547,3303.677495956421,1014,0.0,0.08084768,0.47195887565612793,1014000,-3059.220250813302,7.8974485,1,0.08084768,100.58907
1000.0,0.014915431,3309.535860300064,1015,0.0,0.18416329,0.7984880208969116,1015000,-3061.9699335453083,7.901108,1,0.18416329,102.03096
1000.0,0.0043174336,3314.8691115379333,1016,0.0,0.09822233,0.8671567589044571,1016000,-3072.4561467325425,7.9198604,1,0.09822233,102.091934
1000.0,0.0047838446,3318.3878853321075,1017,0.0,0.103940085,0.7206693291664124,1017000,-3078.6012353485066,7.9151754,1,0.103940085,99.5531
1000.0,0.0040168883,3321.884730577469,1018,0.0,0.1017326,0.5791126787662506,1018000,-3080.000010673874,7.8912315,1,0.1017326,99.56817
1000.0,0.0042355713,3325.4157285690308,1019,0.0,0.080916144,0.5372143387794495,1019000,-3107.66812809803,7.888241,1,0.080916144,97.34163
1000.0,0.014904849,3329.0369465351105,1020,0.0,0.29228622,0.6265438795089722,1020000,-3117.158184137991,7.881043,1,0.29228622,95.85124
1000.0,0.005027472,3333.847533941269,1021,0.0,0.0819365,0.33403724431991577,1021000,-3127.7256984537044,7.889098,1,0.0819365,95.781235
1000.0,0.014217039,3338.3868074417114,1022,0.0,0.12692879,0.29952311515808105,1022000,-3123.4341888222325,7.8881216,1,0.12692879,95.480064
1000.0,0.014865883,3341.9297454357147,1024,0.0,0.11375554,-2.2131540775299072,1024000,-3138.2166757388927,7.900586,2,0.11375554,94.83844
1000.0,0.004434879,3345.857268810272,1025,0.0,0.087174416,-0.13551867008209229,1025000,-3148.8869475601896,7.901294,1,0.087174416,94.51347
1000.0,0.004802997,3349.374237537384,1026,0.0,0.088220954,-0.16733002662658691,1026000,-3162.641231104268,7.942795,1,0.088220954,93.30028
