entloss,EpTrueRewMean,TimestepsSoFar,optimgain,EpLenMean,meankl,EpisodesSoFar,TimeElapsed,surrgain,EpThisIter,entropy,ev_tdlam_before,EpRewMean
0.0,-3281.4705807387754,558000,0.11161913,1000.0,0.01345296,558,1715.2603187561035,0.11161913,1,6.8460827,0.13822877407073975,318.06894
0.0,-3296.2074749178464,559000,0.060121097,1000.0,0.013534964,559,1718.6593782901764,0.060121097,1,6.8178854,0.2704125642776489,313.49045
0.0,-3274.692782400479,560000,0.11082698,1000.0,0.012693392,560,1722.0387313365936,0.11082698,1,6.750427,0.31746959686279297,306.21704
0.0,-3263.3349530629794,561000,0.05877229,1000.0,0.0037449277,561,1725.4308831691742,0.05877229,1,6.7294884,0.07030069828033447,304.11774
0.0,-3232.709712738597,562000,0.10608246,1000.0,0.0121898195,562,1728.825917005539,0.10608246,1,6.6865835,0.08719027042388916,299.337
0.0,-3208.896440309876,563000,0.094525024,1000.0,0.013632424,563,1732.2141072750092,0.094525024,1,6.682125,0.9112400114536285,300.7109
0.0,-3177.890430961983,564000,0.105864406,1000.0,0.012954418,564,1735.6030721664429,0.105864406,1,6.6327076,0.3308217525482178,301.222
0.0,-3154.2325133179756,565000,0.10092213,1000.0,0.012762702,565,1738.9815051555634,0.10092213,1,6.6198583,0.8851774632930756,305.22174
0.0,-3156.435972874117,566000,0.10818812,1000.0,0.013875518,566,1742.375653743744,0.10818812,1,6.596238,0.4538124203681946,308.02133
0.0,-3116.8715873331,567000,0.087787464,1000.0,0.013048348,567,1745.7655138969421,0.087787464,1,6.514404,0.05711299180984497,311.9522
0.0,-3093.415038745287,568000,0.09355171,1000.0,0.012703229,568,1749.1742997169495,0.09355171,1,6.411053,0.07373785972595215,327.6867
0.0,-3078.4592925379466,569000,0.06539485,1000.0,0.012542546,569,1752.5944740772247,0.06539485,1,6.3815293,0.4881282448768616,343.30255
0.0,-3048.7873799179533,570000,0.1015211,1000.0,0.0127142,570,1756.0172364711761,0.1015211,1,6.3942275,0.11890912055969238,354.73544
0.0,-3031.8416403802,571000,0.12062985,1000.0,0.0149014685,571,1759.4237949848175,0.12062985,1,6.3375387,0.40319347381591797,375.40012
0.0,-3039.057144929739,572000,0.080183506,1000.0,0.012498025,572,1762.8503522872925,0.080183506,1,6.248779,0.44929301738739014,405.57306
0.0,-3029.7582471457536,573000,0.10136345,1000.0,0.012733826,573,1766.2658321857452,0.10136345,1,6.169496,0.6120093762874603,429.32355
0.0,-3023.85603040572,574000,0.08205474,1000.0,0.01456853,574,1769.6799285411835,0.08205474,1,6.144939,0.45725148916244507,452.0556
0.0,-3035.509998274988,575000,0.107570715,1000.0,0.013833446,575,1773.1124997138977,0.107570715,1,6.0856977,0.4132581949234009,484.02686
0.0,-3054.5519497734454,576000,0.06629208,1000.0,0.0045940857,576,1776.5512018203735,0.06629208,1,6.077409,0.28267359733581543,514.40753
0.0,-3074.275768030383,577000,0.04189193,1000.0,0.005535947,577,1779.9854769706726,0.04189193,1,6.0623174,0.20528090000152588,541.2857
0.0,-3091.1253603869127,578000,0.04859845,1000.0,0.0073279347,578,1783.4169046878815,0.04859845,1,6.057144,0.09596812725067139,561.58466
0.0,-3115.3299365352223,579000,0.078763574,1000.0,0.00543065,579,1786.844792842865,0.078763574,1,6.0416827,-0.018529415130615234,578.9867
0.0,-3128.9783921004932,580000,0.018467937,1000.0,0.004071351,580,1790.2825801372528,0.018467937,1,6.1004024,0.0017148256301879883,589.6273
0.0,-3146.894214464139,581000,0.02443444,1000.0,0.005937983,581,1793.7152698040009,0.02443444,1,6.0211177,-0.020097970962524414,597.95886
0.0,-3160.431505164132,582000,0.035929017,1000.0,0.010568775,582,1797.1610114574432,0.035929017,1,6.023133,-0.09514713287353516,603.7819
0.0,-3184.793078188414,583000,0.05889256,1000.0,0.0067156963,583,1800.603951215744,0.05889256,1,6.0341744,-0.3274792432785034,604.99524
0.0,-3200.571714712537,584000,0.05619937,1000.0,0.0062891697,584,1804.0675818920135,0.05619937,1,6.0271416,-0.4646265506744385,603.4131
0.0,-3220.8690409883557,585000,0.06170452,1000.0,0.005247468,585,1807.5274350643158,0.06170452,1,6.0209966,-0.582815408706665,603.2274
0.0,-3236.6856054652276,586000,0.04643952,1000.0,0.008923117,586,1810.978684425354,0.04643952,1,6.0143886,-0.23308861255645752,598.53
0.0,-3247.0230586125103,587000,0.051587198,1000.0,0.0053757243,587,1814.4439072608948,0.051587198,1,6.0111136,-0.23582446575164795,595.7595
0.0,-3257.0841785354473,588000,0.08916715,1000.0,0.013100917,588,1817.87806558609,0.08916715,1,6.005,-0.04711127281188965,592.0578
0.0,-3273.475125067326,589000,0.04667116,1000.0,0.0038291246,589,1821.3247759342194,0.04667116,1,5.999145,0.2816900610923767,588.95215
0.0,-3292.0112098496056,590000,0.08924323,1000.0,0.014488508,590,1824.7712919712067,0.08924323,1,6.046931,0.1001138687133789,584.2752
0.0,-3297.2474980194106,591000,0.09857118,1000.0,0.013702378,591,1828.2087309360504,0.09857118,1,6.0686607,-0.24403297901153564,580.23517
0.0,-3312.154994738377,592000,0.058267098,1000.0,0.005608454,592,1831.6396913528442,0.058267098,1,6.0681925,-0.260786771774292,574.7096
0.0,-3320.5012516549164,593000,0.08178604,1000.0,0.0119832195,593,1835.0597095489502,0.08178604,1,6.082702,0.23362773656845093,569.70715
0.0,-3335.1580207614943,594000,0.11525625,1000.0,0.014399774,594,1838.4779334068298,0.11525625,1,6.040874,-0.1379603147506714,565.2278
0.0,-3348.3983501390803,595000,0.10114141,1000.0,0.012454042,595,1841.9042675495148,0.10114141,1,6.053771,-0.029698491096496582,562.36053
0.0,-3354.2490854038588,596000,0.0475115,1000.0,0.003940594,596,1845.3208587169647,0.0475115,1,6.0318155,0.3686408996582031,556.93097
0.0,-3368.4744775399095,597000,0.10258457,1000.0,0.012738764,597,1848.7394969463348,0.10258457,1,5.953852,0.14304512739181519,554.29675
0.0,-3375.4378311455002,598000,0.14111874,1000.0,0.0136658475,598,1852.1473350524902,0.14111874,1,5.9334054,0.4205334782600403,553.2135
0.0,-3344.302834526323,599000,0.18373421,1000.0,0.013711771,599,1855.5581459999084,0.18373421,1,5.9565415,0.3439369201660156,543.854
0.0,-3347.669578761904,600000,0.115444876,1000.0,0.01476437,600,1858.9639229774475,0.115444876,1,5.9166923,-0.0645209550857544,538.7384
0.0,-3347.187092150928,601000,0.08472177,1000.0,0.013260488,601,1862.3558554649353,0.08472177,1,5.910828,0.2799571752548218,531.5606
0.0,-3350.828121620262,602000,0.10284627,1000.0,0.013558568,602,1865.7772731781006,0.10284627,1,5.903136,0.5294376611709595,545.58527
0.0,-3354.7772704679746,603000,0.1333588,1000.0,0.013425147,603,1869.1693522930145,0.1333588,1,5.8742633,0.24030637741088867,544.48694
0.0,-3363.6449306022537,604000,0.042248547,1000.0,0.004144154,604,1872.5781705379486,0.042248547,1,5.8624926,0.38756489753723145,567.45294
0.0,-3373.057126939025,605000,0.101811685,1000.0,0.014051186,605,1875.9820530414581,0.101811685,1,5.7386065,0.5203810036182404,580.69446
0.0,-3347.3537477163823,606000,0.06837586,1000.0,0.00477962,606,1879.4149038791656,0.06837586,1,5.689509,0.5870464146137238,619.0731
0.0,-3366.0740364542407,607000,0.06278735,1000.0,0.004498951,607,1882.8445229530334,0.06278735,1,5.671247,0.38733983039855957,656.10803
0.0,-3374.3838559636724,608000,0.06623861,1000.0,0.013649025,608,1886.2773628234863,0.06623861,1,5.653788,0.022957682609558105,683.62195
0.0,-3384.486977177573,609000,0.054577235,1000.0,0.0060076,609,1889.7128429412842,0.054577235,1,5.661397,0.31084877252578735,707.89453
