entloss,EpThisIter,EpRewMean,EpisodesSoFar,entropy,ev_tdlam_before,TimestepsSoFar,meankl,TimeElapsed,EpLenMean,EpTrueRewMean,surrgain,optimgain
0.0,15,14.181955,2280,23.389126,0.8528235554695129,162186,0.012362443,4557.002025127411,72.5,374.2920720863136,0.2502713,0.2502713
0.0,15,14.09754,2295,23.387728,0.8885377123951912,163222,0.013775523,4580.198398113251,70.15,363.19622410724367,0.23977801,0.23977801
0.0,14,13.244469,2309,23.401815,0.891877681016922,164208,0.012684852,4603.53813123703,68.675,354.6521356584653,0.26504642,0.26504642
0.0,14,13.22804,2323,23.40365,0.8488148897886276,165207,0.014017463,4626.61346912384,70.55,363.68095866262,0.24207684,0.24207684
0.0,13,12.737334,2336,23.40251,0.8476655334234238,166251,0.012402043,4649.816369056702,73.5,377.42139125746405,0.2610954,0.2610954
0.0,14,13.093573,2350,23.40247,0.8843624889850616,167301,0.013199383,4672.917739868164,75.7,389.4645193297987,0.27887625,0.27887625
0.0,15,12.849037,2365,23.39665,0.9063632860779762,168337,0.012133632,4696.003034114838,74.225,384.28660869766543,0.25270545,0.25270545
0.0,14,12.211495,2379,23.39261,0.8622430562973022,169336,0.01248884,4718.748852968216,70.5,366.260620823919,0.23864219,0.23864219
0.0,14,12.212828,2393,23.384268,0.8381772339344025,170350,0.012966219,4742.269812107086,71.5,371.34510387073993,0.26112226,0.26112226
0.0,13,12.47554,2406,23.38383,0.8585890680551529,171324,0.01296576,4765.60889005661,72.85,377.57568479111507,0.28612876,0.28612876
0.0,15,13.436755,2421,23.387661,0.79513019323349,172302,0.012435202,4788.75571513176,70.775,369.47409664366216,0.23532379,0.23532379
0.0,13,13.417198,2434,23.375809,0.884131595492363,173354,0.013285521,4811.924555063248,73.125,380.00755553945737,0.2644905,0.2644905
0.0,14,13.191679,2448,23.37659,0.8602126240730286,174396,0.012186829,4834.930698871613,73.4,381.18605588580414,0.28108725,0.28108725
0.0,14,13.342718,2462,23.36507,0.8767647445201874,175387,0.01240391,4858.010349035263,75.5,390.30604796465775,0.25173172,0.25173172
0.0,12,13.027159,2474,23.356611,0.8662718385457993,176373,0.012229472,4881.320589065552,75.475,390.63888133775396,0.23820081,0.23820081
0.0,13,13.174185,2487,23.35059,0.8775752484798431,177380,0.0138858175,4904.696940898895,76.35,394.58853483115627,0.26462248,0.26462248
0.0,13,12.492254,2500,23.355923,0.8283599764108658,178430,0.013535143,4927.882374048233,79.1,408.2123972918797,0.24732184,0.24732184
0.0,14,12.293249,2514,23.355959,0.8597757816314697,179461,0.013058977,4950.934375047684,77.2,401.2516117644852,0.27846354,0.27846354
0.0,15,11.518969,2529,23.354534,0.8032605648040771,180504,0.014025381,4974.155293226242,73.65,382.2445814036014,0.2546925,0.2546925
0.0,13,12.640541,2542,23.35204,0.8634703755378723,181493,0.014404428,4997.935838222504,73.1,380.85569051746876,0.26460433,0.26460433
0.0,13,12.636991,2555,23.343752,0.8712099194526672,182485,0.013776565,5021.45335316658,73.95,384.2285486279622,0.2585751,0.2585751
0.0,14,12.9891815,2569,23.340656,0.8371716439723969,183487,0.012782857,5044.655767917633,74.575,389.57719113821526,0.23065464,0.23065464
0.0,15,11.872629,2584,23.327274,0.8599964380264282,184532,0.013110591,5068.0063099861145,72.225,376.8884215106068,0.2655108,0.2655108
0.0,14,11.98954,2598,23.327765,0.8527253270149231,185551,0.0124878045,5091.260239124298,72.05,375.5807161114536,0.30452847,0.30452847
0.0,14,11.971562,2612,23.322721,0.81790991127491,186623,0.01345356,5114.486782073975,72.9,376.52799442005545,0.26557013,0.26557013
0.0,15,12.279237,2627,23.32455,0.8466396927833557,187808,0.012989729,5137.812885046005,76.575,393.76363277450315,0.26180702,0.26180702
0.0,16,11.552733,2643,23.324228,0.8723201155662537,188890,0.013503009,5162.048662900925,73.45,380.8991440227134,0.23864762,0.23864762
0.0,13,10.820984,2656,23.319689,0.8401610106229782,189929,0.013889039,5185.1711049079895,71.675,374.20272978035734,0.3037709,0.3037709
0.0,15,10.730501,2671,23.32211,0.8080401718616486,190992,0.014212138,5208.416312932968,72.8,378.64353931191425,0.28327298,0.28327298
0.0,15,11.242495,2686,23.313154,0.7873631864786148,192043,0.014057591,5229.796136140823,72.1,375.7011010302746,0.28751117,0.28751117
0.0,13,11.686956,2699,23.308758,0.8154412508010864,193067,0.004033065,5253.1274580955505,73.325,382.6710729691107,0.14054158,0.14054158
0.0,14,11.706357,2713,23.297403,0.8145430237054825,194120,0.013800271,5276.516163110733,74.775,391.3472318147271,0.2675688,0.2675688
0.0,12,11.688279,2725,23.303751,0.8350422233343124,195143,0.014695346,5299.711302995682,80.125,417.06451296972847,0.3084391,0.3084391
0.0,13,10.942954,2738,23.305042,0.8715228885412216,196113,0.014775775,5322.978697061539,78.775,407.6160142357319,0.31919557,0.31919557
0.0,15,10.618019,2753,23.309248,0.8494928479194641,197113,0.01337502,5346.189275026321,74.825,388.8991853663865,0.26413673,0.26413673
0.0,13,10.633142,2766,23.30553,0.7880385667085648,198136,0.014004113,5369.356499195099,73.2,383.37793268913646,0.27477115,0.27477115
0.0,15,10.536484,2781,23.302576,0.8698140531778336,199188,0.01409591,5392.602051019669,71.675,378.50965893961904,0.2642294,0.2642294
0.0,14,10.383481,2795,23.298182,0.8361694514751434,200252,0.013407801,5415.97406411171,74.9,391.2763090828269,0.2788033,0.2788033
0.0,14,10.750643,2809,23.28954,0.8213545978069305,201307,0.013154456,5439.176821947098,73.975,386.5767664625825,0.27192605,0.27192605
0.0,12,10.825899,2821,23.292841,0.8196646720170975,202267,0.013708405,5462.423758983612,76.975,402.3118440939868,0.28258708,0.28258708
0.0,14,11.028524,2835,23.285604,0.8841981366276741,203316,0.012669608,5485.314161062241,76.6,401.96902487803015,0.23262727,0.23262727
0.0,12,11.305784,2847,23.268522,0.7983866631984711,204332,0.014493137,5508.570569992065,79.2,415.3884287224988,0.28143722,0.28143722
0.0,13,11.310946,2860,23.269522,0.7438861727714539,205389,0.014791824,5531.628944158554,79.7,417.3128440459648,0.2981976,0.2981976
0.0,14,11.050174,2874,23.263187,0.8417852520942688,206372,0.013814609,5567.286673069,77.975,407.8581569227732,0.297,0.297
