EpLenMean,EpTrueRewMean,EpRewMean,entropy,EpisodesSoFar,optimgain,EpThisIter,ev_tdlam_before,meankl,surrgain,TimestepsSoFar,TimeElapsed,entloss
83.375,395.21502920595015,23.984198,23.336004,1867,0.24653755,13,0.8661454916000366,0.013517413,0.24653755,119563,544.0237371921539,0.0
84.05,401.0177217112356,23.62282,23.336672,1878,0.15674914,11,0.8477092981338501,0.0040154206,0.15674914,120592,548.7430574893951,0.0
82.95,397.45020891488053,22.511003,23.342535,1891,0.3023032,13,0.9075137972831726,0.014013253,0.3023032,121653,553.4177694320679,0.0
86.825,418.20674397305936,23.252142,23.345526,1903,0.30229115,12,0.850310891866684,0.013925267,0.30229115,122687,558.2514889240265,0.0
81.275,388.1178962610817,21.496387,23.345198,1916,0.14083922,13,0.8962597548961639,0.0038008045,0.14083922,123650,563.3063354492188,0.0
84.45,403.31828714839986,22.440973,23.347332,1927,0.3098441,11,0.833328366279602,0.01453604,0.3098441,124659,567.9302320480347,0.0
86.15,408.9939535120835,23.15775,23.342207,1938,0.14269298,11,0.8332342654466629,0.0037987153,0.14269298,125700,572.5636723041534,0.0
87.375,414.657594532027,23.690548,23.341879,1950,0.14484608,12,0.8696101754903793,0.004106266,0.14484608,126739,577.2262773513794,0.0
87.25,413.7307683828705,23.30889,23.337162,1963,0.2546464,13,0.9094040393829346,0.013116458,0.2546464,127845,581.8813345432281,0.0
85.975,408.57781892467415,22.498333,23.340254,1976,0.30342934,13,0.8956552073359489,0.014307006,0.30342934,128961,587.0129413604736,0.0
86.3,411.4535840096586,22.13055,23.33864,1989,0.2658106,13,0.8725822865962982,0.014752606,0.2658106,130102,591.8718996047974,0.0
85.875,411.024870314332,21.554478,23.337137,2001,0.29543817,12,0.8479832261800766,0.0147068165,0.29543817,131132,596.5934183597565,0.0
85.775,410.74095534538753,21.769463,23.33742,2012,0.13818848,11,0.8684495836496353,0.0038486957,0.13818848,132097,601.1554026603699,0.0
