meankl,entropy,surrgain,entloss,EpThisIter,EpisodesSoFar,TimeElapsed,optimgain,ev_tdlam_before,EpLenMean,EpRewMean,TimestepsSoFar
0.0072580315,1.4189401,0.010705838,0.0,13,865,60.18941569328308,0.010705838,0.9907071907073259,79.25,76.59855661823961,89076
0.009072889,1.4189401,0.02593747,0.0,13,878,60.87880349159241,0.02593747,0.9886420676484704,78.475,77.47176400694438,90094
0.010988902,1.4189401,0.010202894,0.0,13,891,61.57251214981079,0.010202894,0.9942862931638956,79.075,76.3894211606295,91113
0.006794397,1.4189401,0.013825862,0.0,13,904,62.265460729599,0.013825862,0.9930254216305912,78.275,75.57234513943037,92130
0.007187387,1.4189401,0.01907203,0.0,12,916,62.94289803504944,0.01907203,0.9874638058245182,79.8,74.5000980091636,93130
0.012251049,1.4189401,0.007829752,0.0,14,930,63.6370689868927,0.007829752,0.9937194343656301,78.975,74.67624635995082,94192
0.006730195,1.4189401,0.009420453,0.0,13,943,64.31992220878601,0.009420453,0.9958329647779465,78.475,74.84224984808188,95188
0.010256946,1.4189401,0.019470612,0.0,13,956,65.01319909095764,0.019470612,0.9960105014033616,76.45,75.69197843665776,96188
0.0066809114,1.4189401,0.013052633,0.0,11,967,65.71661686897278,0.013052633,0.8731181025505066,81.025,74.55250115538863,97208
0.0062107528,1.4189401,0.010174669,0.0,14,981,66.39590954780579,0.010174669,0.9883300792425871,81.4,75.00211176645429,98291
0.007212897,1.4189401,0.013524106,0.0,13,994,67.08390641212463,0.013524106,0.990884049795568,81.775,74.65275246369694,99299
0.007944421,1.4189401,0.012867793,0.0,13,1007,67.77759408950806,0.012867793,0.9946907483972609,78.05,75.58452375645584,100330
